dateTime,dateTime,heatContent
2011-12-21 12:00:00,2011-12-21 12:00:00,3603620589.138811
2011-12-22 12:00:00,2011-12-22 12:00:00,3619306777.5511303
2011-12-23 12:00:00,2011-12-23 12:00:00,3647279145.0493345
2011-12-24 12:00:00,2011-12-24 12:00:00,3491185907.1050725
2011-12-25 12:00:00,2011-12-25 12:00:00,3537197601.8004904
2011-12-26 12:00:00,2011-12-26 12:00:00,3519187859.2494135
2011-12-27 12:00:00,2011-12-27 12:00:00,3494948074.002165
2011-12-28 12:00:00,2011-12-28 12:00:00,2932034842.4397573
2011-12-29 12:00:00,2011-12-29 12:00:00,3220859101.786871
2011-12-30 12:00:00,2011-12-30 12:00:00,3370054259.610763
2011-12-31 12:00:00,2011-12-31 12:00:00,3319365027.1456003
2012-01-01 12:00:00,2012-01-01 12:00:00,3407257777.904185
2012-01-02 12:00:00,2012-01-02 12:00:00,3359240461.676738
2012-01-03 12:00:00,2012-01-03 12:00:00,3348996753.7487273
2012-01-04 12:00:00,2012-01-04 12:00:00,3380518982.454187
2012-01-05 12:00:00,2012-01-05 12:00:00,3503964188.1654615
2012-01-06 12:00:00,2012-01-06 12:00:00,3460481416.480136
2012-01-07 12:00:00,2012-01-07 12:00:00,3406486844.461121
2012-01-08 12:00:00,2012-01-08 12:00:00,3342585624.797292
2012-01-09 12:00:00,2012-01-09 12:00:00,3282548226.791449
2012-01-10 12:00:00,2012-01-10 12:00:00,3251343113.0712724
2012-01-11 12:00:00,2012-01-11 12:00:00,3330221233.0902615
2012-01-12 12:00:00,2012-01-12 12:00:00,3366221155.24158
2012-01-13 12:00:00,2012-01-13 12:00:00,3384037789.87858
2012-01-14 12:00:00,2012-01-14 12:00:00,3391512503.6557374
2012-01-15 12:00:00,2012-01-15 12:00:00,3425214903.392103
2012-01-16 12:00:00,2012-01-16 12:00:00,3411762738.8396783
2012-01-17 12:00:00,2012-01-17 12:00:00,3205007957.324845
2012-01-18 12:00:00,2012-01-18 12:00:00,3288313215.7088056
2012-01-19 12:00:00,2012-01-19 12:00:00,3285371899.683334
2012-01-20 12:00:00,2012-01-20 12:00:00,3275622678.9504066
2012-01-21 12:00:00,2012-01-21 12:00:00,3304241055.965844
2012-01-22 12:00:00,2012-01-22 12:00:00,3468804458.7333684
2012-01-23 12:00:00,2012-01-23 12:00:00,3489302568.806894
2012-01-24 12:00:00,2012-01-24 12:00:00,3445823626.6372786
2012-01-25 12:00:00,2012-01-25 12:00:00,3466885974.554191
2012-01-26 12:00:00,2012-01-26 12:00:00,3440946353.7134967
2012-01-27 12:00:00,2012-01-27 12:00:00,3407250931.369987
2012-01-28 12:00:00,2012-01-28 12:00:00,3416500205.59089
2012-01-29 12:00:00,2012-01-29 12:00:00,3389018504.5226493
2012-01-30 12:00:00,2012-01-30 12:00:00,3387184784.2984085
2012-01-31 12:00:00,2012-01-31 12:00:00,3413632674.5626283
2012-02-01 12:00:00,2012-02-01 12:00:00,3383711972.3175445
2012-02-02 12:00:00,2012-02-02 12:00:00,3132626630.548741
2012-02-03 12:00:00,2012-02-03 12:00:00,3202681408.8725023
2012-02-04 12:00:00,2012-02-04 12:00:00,3225442283.557362
2012-02-05 12:00:00,2012-02-05 12:00:00,3181830712.806672
2012-02-06 12:00:00,2012-02-06 12:00:00,3153701798.3913083
2012-02-07 12:00:00,2012-02-07 12:00:00,3258777179.003092
2012-02-08 12:00:00,2012-02-08 12:00:00,3343932141.7901964
